player_id,attacking,crossing,finishing,heading_accuracy,short_passing,volleys
1,429,85,95,70,91,88
2,437,84,95,90,82,86
3,95,13,11,15,43,13
4,407,94,82,55,94,82
5,408,85,87,62,87,87
6,423,71,94,85,84,89
7,408,78,91,73,83,83
8,114,17,13,19,45,20
9,392,79,91,59,84,79
10,410,76,90,84,85,75
11,316,53,52,87,79,45
12,118,18,14,11,61,14
13,349,58,64,80,84,63
14,86,14,14,13,33,12
15,119,15,13,25,55,11
16,426,75,88,91,86,86
17,374,66,65,92,82,69
18,411,70,94,78,83,86
19,328,68,65,54,85,56
20,383,91,66,72,87,67
21,405,82,84,64,87,88
22,123,20,14,14,57,18
23,360,78,85,46,84,67
24,420,75,94,85,81,85
25,224,30,22,84,74,14
26,388,77,82,61,85,83
27,397,88,76,58,93,82
28,86,12,10,10,42,12
29,373,83,81,38,88,83
30,365,93,56,69,85,62
31,371,85,79,51,86,70
32,328,90,57,67,82,32
33,311,58,45,86,82,40
34,396,87,77,58,88,86
35,345,75,63,75,85,47
36,400,73,80,75,87,85
37,399,81,86,68,83,81
38,425,83,88,83,84,87
39,78,11,15,11,30,11
40,394,55,93,81,80,85
41,330,62,67,68,89,44
42,403,76,91,75,77,84
43,86,12,12,16,32,14
44,379,88,79,51,83,78
45,380,86,72,55,91,76
46,429,80,92,84,83,90
47,94,13,10,10,50,11
48,280,54,33,83,65,45
49,390,68,92,79,69,82
50,339,84,51,72,83,49
51,293,42,46,85,78,42
52,344,75,60,55,90,64
53,400,80,75,75,86,84
54,114,17,13,21,50,13
55,419,85,85,81,84,84
56,372,85,73,70,84,60
57,377,82,73,65,86,71
58,349,65,55,87,82,60
59,84,13,13,10,40,8
60,383,84,72,53,92,82
61,344,57,65,84,81,57
62,359,83,80,38,86,72
63,400,73,85,78,84,80
64,308,52,50,86,75,45
65,277,40,42,82,73,40
66,346,63,64,75,85,59
67,382,77,83,68,81,73
68,78,12,12,12,34,8
69,363,75,63,66,90,69
70,389,64,80,86,85,74
71,402,83,81,72,81,85
72,292,55,39,83,78,37
73,399,69,88,78,78,86
74,352,82,63,65,83,59
75,374,88,73,53,86,74
76,298,68,33,84,82,31
77,368,79,85,42,79,83
78,366,83,79,48,80,76
79,386,83,83,65,81,74
80,386,47,90,88,76,85
81,368,76,77,49,90,76
82,374,83,75,59,83,74
83,361,85,72,61,87,56
84,91,9,9,13,50,10
85,400,73,86,85,79,77
86,364,84,55,76,81,68
87,385,86,77,52,90,80
88,394,86,83,61,92,72
89,373,78,68,54,89,84
90,341,81,51,74,78,57
91,389,85,86,44,85,89
92,94,16,10,23,35,10
93,311,44,48,84,77,58
94,308,64,45,82,79,38
95,305,52,42,85,79,47
96,386,72,75,78,88,73
97,359,81,56,60,90,72
98,355,79,84,40,82,70
99,322,60,40,81,80,61
100,356,46,87,67,74,82
101,387,56,86,84,78,83
102,352,73,70,58,88,63
103,380,82,84,60,81,73
104,321,50,50,76,79,66
105,93,15,12,20,33,13
106,262,47,37,78,70,30
107,359,72,69,70,83,65
108,360,77,76,52,78,77
109,371,89,65,67,83,67
110,375,81,77,54,84,79
111,253,34,22,86,78,33
112,383,72,85,71,80,75
