player_id,defender,composure,defending,marking,standing_tackle,sliding_tackle
1,278,96,91,32,35,24
2,263,95,84,28,32,24
3,182,68,57,27,12,18
4,463,91,186,68,65,53
5,281,93,94,35,30,29
6,280,88,96,35,42,19
7,284,84,100,34,34,32
8,165,65,50,15,19,16
9,334,90,122,38,43,41
10,328,84,122,42,42,38
11,634,90,272,93,93,86
12,166,70,48,25,13,10
13,602,84,259,84,88,87
14,174,66,54,20,18,16
15,146,70,38,17,10,11
16,268,90,89,47,24,18
17,614,88,263,85,88,90
18,257,91,83,30,29,24
19,613,85,264,89,90,85
20,575,85,245,82,84,79
21,324,84,120,32,48,40
22,174,70,52,29,15,8
23,374,80,147,47,53,47
24,351,91,130,56,36,38
25,616,82,267,91,89,87
26,256,90,83,34,27,22
27,498,88,205,72,73,60
28,165,69,48,25,10,13
29,294,84,105,32,41,32
30,563,81,241,79,83,79
31,383,87,148,49,59,40
32,579,83,248,83,84,81
33,617,85,266,89,89,88
34,474,86,194,72,67,55
35,600,84,258,86,87,85
36,420,88,166,60,64,42
37,322,88,117,50,34,33
38,413,89,162,59,54,49
39,179,67,56,28,14,14
40,284,86,99,34,33,32
41,591,93,249,86,83,80
42,272,88,92,27,29,36
43,155,65,45,20,13,12
44,382,86,148,41,55,52
45,520,92,214,68,75,71
46,365,85,140,57,45,38
47,179,65,57,29,10,18
48,628,84,272,94,90,88
49,407,87,160,57,50,53
50,584,82,251,83,83,85
51,607,83,262,89,87,86
52,580,94,243,78,82,83
53,477,87,195,63,67,65
54,183,65,59,25,21,13
55,384,84,150,47,57,46
56,552,80,236,74,80,82
57,570,82,244,84,83,77
58,617,89,264,90,88,86
59,137,57,40,9,19,12
60,372,92,140,58,53,29
61,603,87,258,88,86,84
62,313,85,114,50,30,34
63,330,84,123,39,46,38
64,588,82,253,86,85,82
65,605,81,262,92,87,83
66,575,85,245,83,84,78
67,322,82,120,47,40,33
68,168,68,50,20,14,16
69,548,90,229,76,76,77
70,546,84,231,78,79,74
71,286,80,103,36,32,35
72,596,82,257,90,86,81
73,238,82,78,39,20,19
74,579,81,249,82,84,83
75,359,79,140,44,56,40
76,608,86,261,87,87,87
77,344,80,132,45,44,43
78,280,84,98,45,31,22
79,238,78,80,29,31,20
80,261,83,89,45,24,20
81,420,78,171,58,68,45
82,281,83,99,53,24,22
83,544,84,230,80,80,70
84,186,66,60,27,15,18
85,285,83,101,30,41,30
86,566,80,243,80,81,82
87,362,86,138,59,57,22
88,503,85,209,70,70,69
89,498,86,206,67,71,68
90,559,75,242,77,83,82
91,349,85,132,50,37,45
92,167,45,61,25,16,20
93,598,86,256,90,86,80
94,610,86,262,88,89,85
95,600,80,260,90,86,84
96,538,86,226,78,79,69
97,534,86,224,78,76,70
98,291,81,105,25,40,40
99,600,86,257,87,86,84
100,309,83,113,45,38,30
101,345,83,131,56,31,44
102,540,90,225,76,79,70
103,309,75,117,55,32,30
104,602,80,261,87,89,85
105,149,61,44,12,18,14
106,597,75,261,88,87,86
107,558,82,238,78,81,79
108,230,76,77,29,27,21
109,558,78,240,80,81,79
110,404,84,160,48,55,57
111,595,75,260,85,88,87
112,300,82,109,34,39,36
113,572,82,245,84,80,81
114,547,83,232,75,78,79
115,580,86,247,81,85,81
116,546,86,230,76,76,78
117,538,82,228,74,79,75
118,547,83,232,77,78,77
119,587,75,256,87,86,83
120,323,81,121,53,38,30
121,302,80,111,53,32,26
122,570,80,245,78,83,84
123,270,84,93,34,33,26
124,602,82,260,88,87,85
125,461,85,188,69,67,52
126,431,85,173,58,64,51
127,584,84,250,85,83,82
128,597,83,257,84,90,83
129,545,85,230,77,77,76
130,241,85,78,39,21,18
131,314,80,117,45,38,34
132,138,58,40,11,13,16
133,335,79,128,64,32,32
134,588,78,255,85,85,85
135,368,80,144,57,48,39
136,142,66,38,14,13,11
137,578,92,243,82,80,81
138,580,86,247,82,84,81
139,138,62,38,14,11,13
140,149,67,41,14,14,13
141,559,81,239,81,78,80
142,595,81,257,88,86,83
143,552,82,235,79,80,76
144,513,79,217,67,74,76
145,290,80,105,42,30,33
146,303,81,111,53,30,28
147,265,81,92,24,35,33
148,587,75,256,81,85,90
149,580,84,248,84,84,80
150,554,78,238,77,81,80
151,555,79,238,77,81,80
152,289,77,106,52,28,26
153,574,74,250,83,85,82
