player_id,best_position,first_position,second_position,third_position,w_f,sm,level_a_w,level_d_w
1,RW,RW,ST,CF,4,4,2,1
2,ST,ST,LW,NP,4,5,3,1
3,GK,GK,NP,NP,3,1,2,2
4,CAM,CAM,CM,NP,5,4,3,3
5,LW,LW,CAM,NP,5,5,3,2
6,ST,ST,NP,NP,4,4,3,2
7,ST,ST,LW,RW,4,5,3,1
8,GK,GK,NP,NP,3,1,2,2
9,RW,RW,NP,NP,3,4,3,2
10,LW,LW,NP,NP,4,4,3,2
11,CB,CB,NP,NP,3,2,2,2
12,GK,GK,NP,NP,4,1,2,2
13,CDM,CDM,NP,NP,3,2,3,3
14,GK,GK,NP,NP,3,1,2,2
15,GK,GK,NP,NP,4,1,2,2
16,CF,CF,ST,NP,4,4,2,1
17,CB,CB,NP,NP,3,3,3,2
18,ST,ST,NP,NP,4,4,3,2
19,CDM,CDM,CM,NP,3,2,2,3
20,CDM,CDM,RB,NP,4,3,3,2
21,CAM,CF,CAM,NP,3,4,2,2
22,GK,GK,NP,NP,3,1,2,2
23,LW,LW,RW,NP,3,4,3,2
24,ST,ST,NP,NP,4,3,3,3
25,CB,CB,NP,NP,3,2,2,3
26,LW,LW,ST,NP,4,4,3,2
27,CM,CM,NP,NP,5,3,2,2
28,GK,GK,NP,NP,3,1,2,2
29,CAM,RM,LM,CAM,3,5,3,2
30,RB,RB,NP,NP,4,3,3,2
31,RW,RW,CAM,CM,3,4,3,3
32,LB,LB,NP,NP,2,3,3,3
33,CB,CB,NP,NP,3,2,2,2
34,CAM,CAM,CM,NP,4,4,3,3
35,CDM,CDM,NP,NP,2,3,2,3
36,CF,CF,NP,NP,4,5,3,3
37,LM,LM,CF,NP,5,4,3,3
38,ST,ST,CF,LW,3,4,2,2
39,GK,GK,NP,NP,3,1,2,2
40,ST,ST,NP,NP,4,3,3,2
41,CDM,CDM,CM,NP,3,3,2,2
42,ST,ST,LW,NP,4,4,3,3
43,GK,GK,NP,NP,3,1,2,2
44,RW,RW,LW,NP,2,5,3,2
45,CM,CM,NP,NP,4,4,3,2
46,ST,ST,NP,NP,4,3,3,2
47,GK,GK,NP,NP,1,1,2,2
48,CB,CB,NP,NP,3,2,2,3
49,ST,ST,NP,NP,3,3,3,3
50,RB,RB,NP,NP,3,3,3,3
51,CB,CB,NP,NP,3,2,2,3
52,CM,CM,CDM,NP,4,4,2,3
53,CM,CM,CDM,NP,4,5,3,2
54,GK,GK,NP,NP,3,1,2,2
55,CAM,CAM,RM,RW,4,3,3,3
56,LB,LB,NP,NP,3,3,3,2
57,CDM,CDM,CM,NP,3,3,3,3
58,CB,CB,NP,NP,3,3,3,3
59,GK,GK,NP,NP,4,1,2,2
60,CAM,CAM,CM,NP,2,4,3,2
61,CB,CB,NP,NP,3,2,3,2
62,CAM,CAM,CF,ST,4,4,3,2
63,CAM,CAM,RM,CF,4,4,2,2
64,CB,CB,NP,NP,4,2,2,3
65,CB,CB,NP,NP,4,2,2,3
66,CDM,CDM,CM,NP,4,3,2,3
67,RM,LM,ST,NP,4,5,3,2
68,GK,GK,NP,NP,3,1,2,2
69,CM,CM,NP,NP,3,4,2,3
70,CM,CM,CDM,CAM,4,4,3,2
71,LM,LM,NP,NP,3,4,3,2
72,CB,CB,NP,NP,4,2,2,3
73,ST,ST,LW,NP,4,3,3,2
74,RB,RB,NP,NP,4,3,3,3
75,CAM,CAM,RW,NP,2,5,3,3
76,CB,CB,CDM,NP,3,3,2,3
77,RM,RM,LM,RW,4,4,3,2
78,RW,RW,RM,NP,4,5,2,2
79,CAM,CF,LW,CAM,3,5,3,1
80,ST,ST,NP,NP,4,3,2,2
81,CAM,CAM,CM,CF,3,4,2,2
82,LW,LW,CF,NP,4,4,3,2
83,CM,CM,RM,LM,4,3,3,3
84,GK,GK,NP,NP,3,1,2,2
85,ST,ST,NP,NP,4,3,2,2
86,LB,LB,LM,NP,3,3,3,2
87,CAM,CAM,CM,RM,5,4,3,3
88,CM,CM,NP,NP,4,3,2,2
89,CM,CM,CDM,NP,3,5,2,2
90,RB,RB,NP,NP,2,3,3,3
91,CAM,CAM,CF,NP,4,4,3,2
92,GK,GK,NP,NP,2,1,2,2
93,CB,CB,NP,NP,4,2,2,3
94,CB,CB,NP,NP,3,2,2,2
95,CB,CB,NP,NP,3,2,2,3
96,CM,CM,NP,NP,4,4,3,3
97,CM,CM,NP,NP,4,3,2,2
98,CF,CF,ST,NP,4,4,3,1
99,CB,CB,NP,NP,3,2,2,3
100,ST,ST,NP,NP,3,3,3,3
101,ST,ST,NP,NP,4,4,3,2
102,CM,CM,NP,NP,3,4,2,2
103,CAM,LW,RW,NP,3,3,3,2
104,CB,CDM,CM,NP,4,3,2,3
105,GK,GK,NP,NP,3,1,2,2
106,CB,CB,NP,NP,3,2,2,3
107,CDM,CDM,CM,NP,4,3,2,3
108,RM,LM,RM,LW,3,4,2,1
109,LB,LB,NP,NP,2,3,3,3
110,CAM,CAM,CM,NP,4,4,3,2
111,CB,CB,NP,NP,3,2,2,2
112,ST,ST,NP,NP,3,4,2,2
113,LB,LB,NP,NP,2,3,3,3
114,LWB,LB,NP,NP,2,3,3,2
115,CDM,CM,NP,NP,3,3,2,3
116,CAM,LM,LB,CM,2,4,2,2
117,CM,CM,CDM,NP,4,3,3,2
118,CM,CM,LM,LB,4,3,3,3
119,CB,CB,NP,NP,3,2,2,3
120,ST,ST,NP,NP,4,3,3,3
121,CAM,CF,ST,NP,4,4,2,2
122,LB,LB,NP,NP,2,3,3,2
123,CF,ST,NP,NP,5,4,3,3
124,CB,CB,NP,NP,4,2,2,3
125,RM,RM,CM,NP,4,3,3,2
126,CAM,CAM,CM,LW,3,4,2,1
127,CB,CB,LB,NP,4,3,2,2
128,CDM,CDM,CM,NP,3,3,2,3
129,RM,RM,RB,NP,5,4,3,2
130,ST,ST,RW,NP,4,3,3,3
131,LM,LM,RW,LW,3,5,3,2
132,GK,GK,NP,NP,2,1,2,2
133,RM,RM,RW,NP,3,3,3,3
134,RB,RB,LB,NP,3,2,2,2
135,ST,ST,NP,NP,4,3,3,3
136,GK,GK,NP,NP,2,1,2,2
137,CDM,CDM,CM,NP,4,4,2,2
138,CDM,CDM,NP,NP,3,3,2,3
139,GK,GK,NP,NP,2,1,2,2
140,GK,GK,NP,NP,3,1,2,2
141,RB,RB,RM,NP,2,4,3,2
142,CB,CB,CDM,NP,4,3,2,3
143,CM,CM,NP,NP,3,3,3,3
144,RM,RM,NP,NP,2,3,3,2
145,LM,LW,RW,NP,5,5,3,2
146,ST,ST,NP,NP,3,4,3,3
147,RM,CAM,RM,NP,4,4,2,1
148,RB,RB,RWB,NP,2,4,2,3
149,CDM,CDM,CB,CM,3,3,2,2
150,LB,LB,NP,NP,5,4,3,3
151,RWB,RB,NP,NP,3,4,2,3
152,CAM,LM,LW,RM,2,4,3,2
153,CB,CB,NP,NP,3,3,2,2
154,LB,LB,LM,NP,3,4,3,3
155,CAM,CAM,CM,NP,2,5,2,2
156,CM,CM,CAM,NP,3,3,3,2
157,GK,GK,NP,NP,3,1,2,2
158,GK,GK,NP,NP,2,1,2,2
159,CB,CB,NP,NP,4,3,2,3
160,CAM,CAM,RM,ST,4,4,3,2
161,LM,LM,RM,NP,3,4,3,2
162,ST,ST,NP,NP,4,3,3,2
163,GK,GK,NP,NP,2,1,2,2
164,LWB,LB,NP,NP,3,4,3,2
165,CAM,CAM,CM,NP,3,4,3,3
166,RWB,RB,NP,NP,3,4,3,2
167,CB,CB,NP,NP,3,2,2,3
168,LM,LM,LWB,NP,2,3,3,3
169,ST,ST,RM,CF,4,3,3,2
170,CM,CM,CDM,NP,4,4,3,3
171,RM,RM,NP,NP,4,4,3,2
172,CB,CB,NP,NP,3,2,2,2
173,CM,CM,CDM,NP,3,3,2,2
174,RW,RW,RM,CF,4,3,3,3
175,LB,LB,LM,NP,3,4,3,2
176,CAM,CM,CAM,NP,4,3,3,3
177,LM,LM,RM,CF,4,4,3,3
178,RM,RM,CF,NP,4,4,3,2
179,CDM,CM,CDM,NP,3,4,2,3
180,CB,CB,NP,NP,3,3,2,3
181,RB,RB,CM,NP,3,4,2,2
182,GK,GK,NP,NP,2,1,2,2
183,CF,CF,LW,CAM,3,4,2,2
184,CDM,CDM,CM,NP,4,3,2,2
185,LM,LM,CF,NP,3,5,2,2
186,CB,CB,NP,NP,2,2,2,2
187,GK,GK,NP,NP,2,1,2,2
188,ST,ST,NP,NP,4,4,3,3
189,GK,GK,NP,NP,2,1,2,2
190,CB,CB,NP,NP,2,2,1,3
191,GK,GK,NP,NP,3,1,2,2
192,LW,LW,CAM,RW,3,4,2,1
193,CAM,CAM,LW,CM,4,5,3,2
194,GK,GK,NP,NP,4,1,2,2
195,CAM,CAM,CM,LW,3,4,3,3
196,CM,CM,CAM,CDM,4,4,3,3
197,CM,CM,CDM,NP,4,4,3,2
198,RB,RB,NP,NP,4,3,2,2
199,CDM,CDM,CM,NP,3,3,2,2
200,LB,LB,NP,NP,3,3,3,2
201,CM,CM,CDM,CAM,4,3,3,3
202,ST,ST,NP,NP,5,2,2,2
203,CM,CM,CDM,NP,4,4,3,2
204,CDM,CAM,CM,CF,3,3,3,3
205,LB,LB,NP,NP,4,5,3,1
206,RW,RW,NP,NP,3,4,2,2
207,CB,CB,LB,NP,3,3,3,3
208,CDM,CDM,CM,NP,2,2,2,3
209,RW,RW,LW,CAM,2,4,3,1
210,CM,CM,CAM,LM,4,4,3,3
211,ST,ST,NP,NP,4,3,3,2
212,GK,GK,NP,NP,3,1,2,2
213,CM,CM,NP,NP,4,3,3,3
214,ST,ST,NP,NP,4,5,2,1
215,LB,LB,LM,NP,3,3,3,2
216,GK,GK,NP,NP,3,1,2,2
217,CB,CB,NP,NP,3,2,2,2
218,GK,GK,NP,NP,2,1,2,2
219,CM,CM,NP,NP,4,4,2,2
220,CAM,CM,CAM,NP,3,4,3,3
221,CM,CM,RM,ST,3,3,3,3
222,LM,RM,RW,NP,2,4,3,2
223,CDM,CDM,CM,RB,3,3,2,3
224,CM,CM,NP,NP,4,3,1,3
225,GK,GK,NP,NP,3,1,2,2
226,LM,LM,NP,NP,3,3,3,3
227,CAM,LW,RW,NP,3,4,3,2
228,CB,CB,LB,NP,3,2,3,3
229,CB,CB,NP,NP,4,2,2,3
230,ST,ST,CAM,NP,4,4,2,2
231,GK,GK,NP,NP,3,1,2,2
232,GK,GK,NP,NP,3,1,2,2
233,CAM,RM,ST,NP,4,4,3,2
234,CAM,CAM,RW,NP,4,4,3,1
235,LB,LB,CB,LWB,3,3,3,2
236,GK,GK,NP,NP,2,1,2,2
237,CAM,CAM,LW,ST,4,5,3,2
238,LM,LM,NP,NP,4,4,3,1
239,CB,CM,CDM,NP,4,3,2,3
240,CB,CB,NP,NP,3,2,2,2
241,GK,GK,NP,NP,4,1,2,2
242,ST,RW,LW,NP,3,4,3,3
243,RW,RW,RM,NP,3,4,3,2
244,GK,GK,NP,NP,3,1,2,2
245,GK,GK,NP,NP,3,1,2,2
246,CB,CB,NP,NP,3,2,3,3
247,RM,RM,RW,NP,3,4,3,2
248,CB,CB,NP,NP,2,2,1,3
249,ST,ST,NP,NP,4,3,3,3
250,GK,GK,NP,NP,3,1,2,2
251,CDM,CDM,CM,NP,3,3,2,3
252,CAM,CAM,RW,NP,3,4,2,2
253,ST,ST,CAM,NP,3,4,3,2
254,GK,GK,NP,NP,3,1,2,2
255,GK,GK,NP,NP,2,1,2,2
256,GK,GK,NP,NP,1,1,2,2
257,RWB,RWB,RM,NP,3,3,3,2
258,GK,GK,NP,NP,3,1,2,2
259,CB,CB,CDM,LB,3,3,3,2
260,CAM,CM,LM,RM,3,4,3,2
261,CM,CM,CAM,NP,3,3,3,3
262,LB,LB,NP,NP,3,3,3,2
263,ST,ST,NP,NP,4,4,2,1
264,CB,CB,NP,NP,4,2,2,2
265,GK,GK,NP,NP,2,1,2,2
266,LM,LM,LW,NP,5,4,2,2
267,RW,RW,LW,RM,4,4,3,3
268,GK,GK,NP,NP,3,1,2,2
269,RB,RB,CDM,CM,3,2,2,3
270,LW,LW,CAM,NP,4,4,3,1
271,CAM,CAM,RW,NP,2,4,2,1
272,CM,CM,NP,NP,4,3,2,2
273,CB,CB,NP,NP,3,2,1,3
274,GK,GK,NP,NP,2,1,2,2
275,LB,LB,NP,NP,3,4,3,2
276,CAM,CF,ST,NP,4,5,2,2
277,LM,LM,LW,NP,2,4,3,2
278,RM,RM,LM,CF,4,4,3,2
279,CB,CB,NP,NP,4,2,2,3
280,LM,LM,LB,NP,3,3,3,2
281,CDM,CDM,CM,NP,3,3,3,3
282,RM,RM,NP,NP,3,3,3,3
283,CAM,CM,LM,NP,3,4,3,2
284,LB,LB,LM,RM,4,4,3,2
285,LM,RM,RW,NP,3,4,3,2
286,ST,ST,LW,RM,5,4,3,3
287,ST,ST,NP,NP,3,2,2,2
288,CAM,CAM,CM,ST,4,2,2,2
289,LB,LB,LM,NP,4,4,2,2
290,ST,ST,CF,NP,3,4,3,1
291,CDM,CDM,CM,CAM,4,2,3,2
292,LWB,LWB,LB,NP,4,2,2,2
293,CB,CB,CDM,NP,3,2,3,2
294,LB,LB,NP,NP,3,3,3,3
295,RM,LW,RW,LM,4,4,2,2
296,GK,GK,NP,NP,2,1,2,2
297,CB,RB,CB,NP,3,3,2,3
298,CB,CB,NP,NP,3,2,3,3
299,LM,LM,ST,NP,4,4,3,1
300,CDM,CDM,CM,NP,3,3,2,3
301,ST,ST,NP,NP,3,3,3,3
