player_id,goalkeeping,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
1,54,6,11,15,14,8
2,58,7,11,15,14,11
3,437,87,92,78,90,90
4,56,15,13,5,10,13
5,59,9,9,15,15,11
6,51,15,6,12,8,10
7,42,13,5,7,11,6
8,439,86,88,85,91,89
9,62,14,14,9,11,14
10,56,10,10,15,7,14
11,58,13,10,13,11,11
12,439,88,85,88,88,90
13,67,13,14,16,12,12
14,420,84,89,74,85,88
15,440,87,87,91,86,89
16,41,13,11,5,5,7
17,46,11,8,9,7,11
18,59,13,15,6,11,14
19,54,15,12,10,7,10
20,60,8,15,7,15,15
21,26,5,4,4,5,8
22,435,86,82,93,86,88
23,63,15,12,12,15,9
24,54,8,10,11,14,11
25,43,7,11,7,13,5
26,45,11,12,6,8,8
27,51,10,11,13,7,10
28,424,88,85,73,89,89
29,52,7,11,10,11,13
30,56,14,15,14,6,7
31,54,9,10,14,12,9
32,50,11,8,10,7,14
33,45,10,11,5,14,5
34,63,12,14,15,8,14
35,47,13,12,6,8,8
36,44,8,11,9,6,10
37,53,11,13,13,6,10
38,63,14,8,14,13,14
39,418,90,81,75,82,90
40,47,6,8,15,12,6
41,48,5,8,13,9,13
42,48,6,9,15,9,9
43,416,86,82,73,87,88
44,51,10,7,11,12,11
45,52,13,9,7,14,9
46,153,27,25,31,33,37
47,413,89,82,68,84,90
48,15,3,3,2,4,3
49,62,15,14,7,15,11
50,65,13,13,15,9,15
51,50,11,11,9,5,14
52,64,12,12,15,15,10
53,20,5,6,2,4,3
54,418,88,81,78,82,89
55,52,6,7,11,14,14
56,60,13,15,13,6,13
57,49,7,13,7,9,13
58,42,15,6,10,5,6
59,423,80,86,85,87,85
60,46,6,15,7,6,12
61,58,10,11,14,15,8
62,46,8,11,12,9,6
63,47,6,8,11,10,12
64,56,12,11,11,12,10
65,55,10,13,12,8,12
66,49,10,10,7,14,8
67,53,11,6,15,7,14
68,418,89,81,76,83,89
69,49,7,13,10,10,9
70,47,7,10,7,16,7
71,52,8,12,9,9,14
72,48,10,10,9,12,7
73,50,9,9,8,15,9
74,65,16,12,15,11,11
75,51,11,7,11,8,14
76,47,6,6,12,10,13
77,50,14,10,10,9,7
78,54,15,9,13,11,6
79,50,8,14,6,12,10
80,43,13,9,5,7,9
81,43,6,8,6,12,11
82,45,8,4,14,9,10
83,54,14,12,5,10,13
84,418,85,83,80,84,86
85,54,8,15,14,7,10
86,40,7,7,9,12,5
87,43,9,14,7,7,6
88,48,5,9,12,14,8
89,46,6,11,7,9,13
90,57,12,6,16,15,8
91,61,12,12,13,13,11
92,421,84,85,82,84,86
93,13,2,2,3,2,4
94,66,16,6,14,16,14
95,49,6,8,15,5,15
96,54,16,6,14,12,6
97,42,7,7,13,7,8
98,39,7,10,8,10,4
99,45,9,12,5,9,10
100,52,7,14,13,11,7
101,48,11,8,8,8,13
102,55,6,13,13,11,12
103,50,10,6,10,13,11
104,54,13,14,7,7,13
105,419,84,80,87,82,86
106,52,9,11,7,10,15
107,50,8,8,15,11,8
108,21,5,3,5,3,5
109,58,13,8,12,11,14
110,55,11,16,11,8,9
111,58,15,7,14,7,15
112,51,9,8,8,15,11
113,63,13,9,10,15,16
114,50,7,13,10,7,13
115,49,11,13,9,9,7
116,45,12,6,8,11,8
117,56,13,8,15,11,9
118,51,7,13,12,10,9
119,50,9,11,14,9,7
120,55,7,11,13,14,10
121,52,13,13,8,12,6
122,46,6,12,9,6,13
123,42,6,13,9,7,7
124,52,8,10,7,14,13
125,62,15,14,9,9,15
126,51,10,8,12,15,6
127,50,5,7,14,15,9
128,47,8,6,8,12,13
129,50,11,6,10,14,9
130,62,12,16,9,12,13
131,54,13,15,9,12,5
132,409,85,82,72,82,88
133,49,8,5,14,11,11
134,43,13,9,10,6,5
135,53,12,5,13,13,10
136,406,84,80,77,82,83
137,36,5,7,7,10,7
138,37,10,8,8,5,6
139,406,84,80,76,84,82
140,410,82,77,83,79,89
141,55,10,10,15,7,13
142,48,12,11,5,13,7
143,45,6,10,6,15,8
144,46,10,8,14,6,8
145,49,6,6,14,10,13
146,48,13,8,6,6,15
147,65,12,12,13,15,13
148,39,9,8,6,8,8
149,55,12,12,7,13,11
150,51,7,16,9,10,9
151,64,16,12,10,14,12
152,64,11,14,12,14,13
153,49,8,13,14,7,7
154,62,8,14,13,13,14
155,62,14,15,15,8,10
156,51,7,12,8,10,14
157,410,82,83,79,82,84
158,408,79,80,81,82,86
159,49,7,10,14,7,11
160,61,15,9,8,14,15
161,51,9,11,11,12,8
162,40,9,9,8,6,8
163,409,86,79,75,81,88
164,53,13,10,9,12,9
165,41,7,6,9,11,8
166,58,6,9,15,14,14
167,52,9,14,12,8,9
168,64,13,14,12,12,13
169,56,15,12,7,12,10
170,34,9,5,6,7,7
171,64,8,14,14,12,16
172,66,15,10,14,12,15
173,56,14,7,13,14,8
174,67,14,10,15,15,13
175,56,8,9,12,11,16
176,66,11,13,14,15,13
177,37,6,9,7,7,8
178,54,9,10,14,7,14
179,44,13,13,5,5,8
180,53,11,9,9,13,11
181,66,14,16,11,15,10
182,405,85,80,74,80,86
183,61,11,11,14,9,16
184,55,15,7,12,8,13
185,61,15,10,15,11,10
186,53,11,15,10,7,10
187,403,84,78,74,81,86
188,37,11,6,9,5,6
189,410,83,80,80,83,84
190,49,8,6,8,15,12
191,402,85,78,69,83,87
192,45,10,5,5,13,12
193,48,12,7,9,14,6
194,407,82,78,79,83,85
195,61,12,10,15,12,12
196,57,16,16,11,6,8
197,48,11,14,5,5,13
198,54,11,14,8,11,10
199,29,7,5,9,3,5
200,53,12,13,9,8,11
201,16,4,2,4,2,4
202,63,9,11,13,15,15
203,45,13,8,7,7,10
204,55,11,11,14,8,11
205,36,12,5,5,5,9
206,52,15,15,11,5,6
207,44,6,10,9,12,7
208,48,8,11,5,10,14
209,53,8,14,8,13,10
210,56,6,11,16,15,8
211,39,5,12,7,5,10
212,405,81,81,78,81,84
213,69,13,15,15,13,13
214,59,13,15,10,9,12
215,51,11,14,9,5,12
216,391,84,76,68,76,87
217,69,16,15,13,15,10
218,401,79,84,77,83,78
219,60,16,11,7,13,13
220,56,10,7,10,15,14
221,51,13,6,6,11,15
222,50,11,14,11,6,8
223,58,9,12,12,13,12
224,56,16,12,10,8,10
225,401,83,81,72,81,84
226,64,7,16,15,16,10
227,50,13,9,6,12,10
228,49,10,7,8,14,10
229,49,7,15,7,10,10
230,58,8,14,14,7,15
231,407,80,80,82,82,83
232,406,85,78,77,78,88
233,56,13,10,9,8,16
234,59,13,11,13,12,10
235,64,9,15,14,10,16
236,398,81,79,71,83,84
237,49,10,13,6,7,13
238,49,9,11,9,10,10
239,54,14,8,8,13,11
240,46,12,10,6,8,10
241,409,81,82,85,79,82
242,53,11,8,15,12,7
243,52,8,11,14,10,9
244,400,82,76,76,81,85
245,402,79,81,75,83,84
246,62,14,16,9,14,9
247,50,10,12,7,11,10
248,58,15,6,15,15,7
249,22,4,5,4,4,5
250,403,82,78,76,81,86
251,58,9,7,13,14,15
252,64,15,15,15,5,14
253,46,7,13,10,11,5
254,401,82,82,71,79,87
255,400,84,79,78,79,80
256,401,81,80,79,79,82
257,64,12,13,14,13,12
258,406,85,79,80,78,84
259,55,12,9,10,14,10
260,68,15,12,16,13,12
261,40,6,11,5,10,8
262,61,16,15,8,16,6
263,64,14,15,10,10,15
264,45,7,12,15,6,5
265,400,84,76,75,82,83
266,38,6,7,10,9,6
267,59,14,12,13,7,13
268,405,84,82,77,80,82
269,44,12,6,7,12,7
270,61,11,15,9,14,12
271,50,6,14,10,6,14
272,51,14,11,12,5,9
273,36,8,6,5,9,8
274,396,77,76,74,91,78
275,55,12,7,11,10,15
276,66,13,12,14,13,14
277,47,8,9,8,8,14
278,59,12,9,11,15,12
279,47,7,8,13,7,12
280,50,13,7,9,10,11
281,43,11,13,5,6,8
282,47,14,6,11,5,11
283,48,14,6,11,7,10
284,47,11,11,6,5,14
285,50,8,7,13,8,14
286,51,12,7,8,11,13
287,43,9,12,7,8,7
288,45,8,9,12,8,8
289,60,16,15,15,7,7
290,78,8,11,20,19,20
291,62,15,14,14,10,9
292,60,12,15,9,10,14
293,73,18,12,14,11,18
294,48,10,7,14,7,10
295,63,8,12,13,16,14
296,400,78,80,79,81,82
297,53,9,7,15,7,15
298,53,7,8,14,15,9
299,50,9,12,11,9,9
300,39,5,5,13,7,9
301,62,11,9,14,16,12
302,73,13,16,15,14,15
303,59,7,14,15,14,9
304,47,9,7,10,6,15
305,65,11,14,14,12,14
306,48,11,12,6,8,11
307,50,6,8,10,14,12
308,66,14,15,14,10,13
309,54,12,13,6,12,11
310,51,7,8,14,10,12
311,44,11,10,7,8,8
312,399,80,79,77,80,83
313,60,11,15,13,7,14
314,390,84,76,67,77,86
315,49,7,13,11,10,8
316,45,7,10,12,10,6
317,52,9,12,9,7,15
318,64,7,16,15,11,15
319,60,14,15,7,12,12
320,60,12,14,14,12,8
321,49,10,12,13,7,7
322,403,77,79,82,82,83
323,40,6,7,14,7,6
324,395,84,78,69,76,88
325,59,14,15,10,12,8
326,62,9,16,16,15,6
327,407,81,77,87,77,85
328,47,7,7,9,15,9
329,66,14,13,14,13,12
330,62,13,12,13,8,16
331,66,14,7,14,15,16
332,48,9,8,10,11,10
333,56,15,15,9,8,9
334,51,8,13,15,6,9
335,43,12,10,9,5,7
336,55,15,8,12,11,9
337,51,8,8,14,11,10
338,43,8,7,9,7,12
339,53,12,14,14,8,5
340,49,9,11,7,7,15
341,397,81,80,77,80,79
342,393,82,80,72,77,82
343,58,16,7,15,6,14
344,64,16,16,9,14,9
