player_id,mentality,aggression,interceptions,positioning,vision,penalties
1,347,44,40,93,95,75
2,353,63,29,95,82,84
3,140,34,19,11,65,11
4,408,76,66,88,94,84
5,356,51,36,87,90,92
6,391,81,49,94,79,88
7,341,62,38,91,80,70
8,140,27,11,13,66,23
9,376,63,55,91,84,83
10,358,75,35,92,85,71
11,347,83,90,47,65,62
12,171,43,22,11,70,25
13,396,91,87,72,80,66
14,122,23,15,13,44,27
15,188,29,30,12,70,47
16,363,63,39,90,87,84
17,414,90,88,73,71,92
18,341,65,24,94,83,75
19,386,90,91,72,79,54
20,379,89,82,80,84,44
21,348,48,42,85,87,86
22,172,38,27,20,70,17
23,332,59,30,92,82,69
24,382,81,35,93,83,90
25,294,87,87,35,52,33
26,353,54,41,85,86,87
27,378,60,79,76,90,73
28,123,25,22,12,41,23
29,313,44,39,83,87,60
30,371,74,82,76,84,55
31,356,69,49,85,85,68
32,378,85,82,77,79,55
33,331,81,87,54,65,44
34,408,70,74,83,90,91
35,412,86,87,70,79,90
36,377,75,58,86,86,72
37,345,62,39,88,83,73
38,382,73,49,89,85,86
39,161,32,20,16,68,25
40,369,77,40,93,71,88
41,387,81,85,77,84,60
42,339,43,48,93,77,78
43,135,40,15,14,48,18
44,360,73,42,84,88,73
45,391,62,79,78,90,82
46,386,87,41,91,84,83
47,138,31,27,10,30,40
48,306,90,88,28,50,50
49,385,87,49,92,73,84
50,361,84,83,75,74,45
51,321,80,87,52,59,43
52,397,89,85,71,88,64
53,394,78,64,81,88,83
54,170,38,30,12,61,29
55,359,62,58,94,85,60
56,377,76,81,83,78,59
57,394,84,85,78,83,64
58,366,71,91,56,80,68
59,162,38,21,15,64,24
60,358,56,50,86,91,75
61,371,79,87,64,72,69
62,337,56,40,82,87,72
63,319,42,38,84,82,73
64,313,83,83,44,63,40
65,315,86,86,30,57,56
66,362,76,83,75,82,46
67,360,73,42,82,82,81
68,144,30,26,14,50,24
69,356,70,82,73,86,45
70,377,79,78,79,85,56
71,332,61,34,84,82,71
72,336,80,87,54,66,49
73,331,63,37,88,65,78
74,373,79,81,75,77,61
75,363,73,52,82,89,67
76,340,80,86,59,68,47
77,337,63,38,85,83,68
78,321,48,39,80,84,70
79,344,75,28,84,84,73
80,324,56,22,92,72,82
81,308,29,55,80,88,56
82,300,34,26,81,85,74
83,384,79,80,82,84,59
84,139,28,25,7,56,23
85,340,71,27,86,78,78
86,364,82,82,70,70,60
87,341,46,56,82,90,67
88,398,58,81,82,89,88
89,372,54,83,75,85,75
90,358,78,80,68,69,63
91,360,51,48,86,84,91
92,134,34,23,11,42,24
93,354,82,90,38,74,70
94,338,81,85,52,62,58
95,322,85,87,48,52,50
96,386,75,79,79,79,74
97,383,70,78,68,88,79
98,342,59,36,85,83,79
99,353,76,88,59,70,60
100,357,82,41,86,68,80
101,367,86,45,85,77,74
102,382,75,77,75,86,69
103,332,52,29,83,85,83
104,366,87,90,67,67,55
105,149,32,15,11,64,27
106,263,89,85,24,27,38
107,384,84,81,70,80,69
108,291,36,23,83,79,70
109,390,78,80,75,76,81
110,304,38,47,80,85,54
111,279,83,81,26,57,32
112,338,54,42,84,77,81
113,351,84,82,70,69,46
114,347,69,81,75,68,54
115,375,84,84,73,85,49
116,340,52,81,79,84,44
117,385,81,79,83,82,60
118,388,76,79,82,83,68
119,310,92,87,34,50,47
120,388,81,53,84,78,92
121,354,58,46,85,87,78
122,365,76,82,73,74,60
123,349,55,44,90,80,80
124,303,80,86,32,64,41
125,388,67,72,85,86,78
126,354,58,61,76,83,76
127,388,74,84,73,78,79
128,366,86,89,69,68,54
129,376,73,78,79,78,68
130,347,63,39,84,79,82
131,334,55,48,74,80,77
132,133,35,18,10,50,20
133,322,54,40,88,78,62
134,373,86,85,62,74,66
135,385,81,54,90,75,85
136,169,37,23,13,64,32
137,392,77,83,75,81,76
138,378,83,87,66,81,61
139,138,34,20,10,55,19
140,153,35,20,13,59,26
141,375,75,83,81,80,56
142,380,87,89,70,73,61
143,377,81,81,76,80,59
144,345,72,78,75,74,46
145,318,54,36,77,76,75
146,344,73,32,87,77,75
147,344,62,40,82,83,77
148,350,78,83,69,64,56
149,349,89,81,65,76,38
150,365,82,79,80,75,49
151,334,81,81,72,62,38
152,310,50,34,78,80,68
153,302,81,84,51,60,26
154,401,84,78,81,82,76
155,356,64,65,77,87,63
156,377,75,73,84,82,63
157,162,39,16,20,62,25
158,140,28,25,12,55,20
159,325,85,84,52,63,41
160,352,79,34,83,82,74
161,325,47,58,83,78,59
162,307,72,20,86,59,70
163,132,20,24,18,49,21
164,360,76,80,77,75,52
165,399,81,72,86,84,76
166,351,73,76,78,78,46
167,281,85,86,31,45,34
