player_id,movement,acceleration,sprint_speed,agility,reactions,balance
1,451,91,80,91,94,95
2,431,87,91,87,95,71
3,307,43,60,67,88,49
4,398,77,76,78,91,76
5,453,94,89,96,91,83
6,407,77,78,77,93,82
7,458,96,96,92,92,82
8,268,56,47,40,88,37
9,460,94,92,91,92,91
10,460,95,93,93,93,86
11,354,72,79,61,89,53
12,254,38,50,37,86,43
13,343,60,69,61,87,66
14,284,42,52,61,84,45
15,286,54,60,51,86,35
16,388,77,72,79,91,69
17,378,72,70,78,92,66
18,424,79,78,84,92,91
19,420,79,76,82,91,92
20,399,77,66,84,88,84
21,437,89,82,92,84,90
22,322,64,63,60,87,48
23,464,96,90,94,90,94
24,367,66,69,69,90,73
25,328,73,77,52,85,41
26,448,91,86,92,86,93
27,332,57,52,63,89,71
28,272,51,55,47,83,36
29,435,86,81,91,87,90
30,391,77,83,74,83,74
31,434,85,78,94,85,92
32,400,79,85,78,84,74
33,331,60,65,59,87,60
34,398,78,76,79,86,79
35,349,66,68,66,84,65
36,416,78,77,85,90,86
37,429,86,90,86,89,78
38,425,80,79,91,92,83
39,312,54,53,60,84,61
40,409,82,85,75,90,77
41,284,40,43,67,84,50
42,418,91,94,77,88,68
43,286,51,47,55,82,51
44,419,82,83,94,84,76
45,417,76,70,91,88,92
46,386,72,68,76,92,78
47,321,65,62,55,85,54
48,326,60,70,57,82,57
49,414,90,87,72,90,75
50,403,79,80,79,84,81
51,351,79,85,62,86,39
52,401,68,61,91,87,94
53,365,66,79,73,81,66
54,304,57,58,63,83,43
55,374,68,68,73,94,71
56,433,88,88,90,82,85
57,354,66,65,69,86,68
58,323,46,67,63,87,60
59,299,48,54,55,84,58
60,388,68,61,85,87,87
61,292,48,64,57,88,35
62,453,94,86,93,86,94
63,403,78,88,78,85,74
64,343,68,75,56,84,60
65,320,70,68,48,83,51
66,350,66,65,68,82,69
67,429,89,93,86,86,75
68,281,46,54,64,79,38
69,410,80,80,83,88,79
70,348,66,72,64,83,63
71,427,91,95,84,79,78
72,353,76,72,61,84,60
73,428,93,89,83,87,76
74,410,84,83,79,85,79
75,407,83,77,85,84,78
76,364,70,73,69,85,67
77,425,90,76,86,85,88
78,427,87,79,92,81,88
79,413,85,87,80,82,79
80,381,74,73,73,86,75
81,383,76,72,81,80,74
82,442,92,84,93,80,93
83,375,68,66,73,88,80
84,288,55,56,52,81,44
85,353,77,84,60,86,46
86,400,78,83,78,84,77
87,385,74,70,77,84,80
88,316,52,49,63,80,72
89,395,74,55,91,85,90
90,403,90,94,66,84,69
91,410,82,78,83,85,82
92,251,42,44,41,82,42
93,319,58,62,60,84,55
94,331,60,65,59,85,62
95,298,59,55,57,74,53
96,411,77,76,84,86,88
97,374,68,66,75,84,81
98,444,90,82,94,86,92
99,332,57,61,67,81,66
100,393,80,88,75,83,67
101,415,84,83,86,84,78
102,387,68,65,79,85,90
103,401,80,81,80,81,79
104,365,70,72,69,87,67
105,331,64,62,68,84,53
106,307,65,69,54,79,40
107,348,62,63,72,75,76
108,443,94,93,88,84,84
109,397,84,85,75,83,70
110,412,77,85,84,83,83
111,281,52,83,33,81,32
112,422,88,90,83,82,79
113,406,81,82,77,84,82
114,423,86,84,84,83,86
115,352,68,74,75,85,50
116,410,82,67,87,84,90
117,390,79,78,76,87,70
118,362,67,69,73,84,69
119,327,58,66,65,83,55
120,381,73,82,75,83,68
121,361,71,69,71,84,66
122,386,78,78,69,83,78
123,434,86,82,91,86,89
124,338,69,68,61,81,59
125,388,78,73,77,83,77
126,383,71,65,83,74,90
127,396,78,77,76,88,77
128,384,70,69,81,83,81
129,431,88,81,91,84,87
130,410,78,86,90,84,72
131,450,94,93,92,80,91
132,277,44,50,49,82,52
133,421,86,89,84,82,80
134,365,68,66,72,86,73
135,359,69,73,72,88,57
136,304,53,57,61,79,54
137,352,62,64,74,82,70
138,359,62,58,77,82,80
139,287,50,51,52,79,55
140,297,50,58,61,81,47
141,423,90,84,81,84,84
142,363,67,62,69,88,77
143,400,82,89,76,84,69
144,420,93,95,77,81,74
145,433,93,92,89,78,81
146,438,87,83,91,87,90
147,418,90,87,86,84,71
148,412,84,88,85,82,73
149,382,81,85,68,84,64
150,423,91,92,80,82,78
151,434,91,93,87,82,81
152,423,88,87,79,79,90
153,377,78,85,65,83,66
154,407,77,75,82,83,90
155,399,80,77,85,74,83
156,367,67,73,72,85,70
157,268,45,52,40,74,57
158,277,49,44,47,77,60
159,359,78,76,68,82,55
160,410,80,79,81,79,91
161,449,93,94,90,83,89
162,359,72,78,67,82,60
163,257,41,46,45,78,47
164,410,81,86,81,83,79
165,371,68,76,75,84,68
166,409,87,85,78,81,78
167,332,68,72,59,80,53
168,410,89,87,76,81,77
169,380,75,77,74,86,68
170,404,78,73,87,82,84
171,435,89,87,91,78,90
172,339,65,67,61,80,66
173,341,61,50,77,81,72
174,420,90,90,81,78,81
175,419,82,81,85,83,88
176,400,76,83,75,86,80
177,430,86,83,91,82,88
178,450,95,89,93,81,92
179,398,77,69,78,88,86
180,277,66,59,32,85,35
181,377,75,79,69,80,74
182,339,63,64,67,83,62
183,375,67,66,77,81,84
184,374,71,51,79,87,86
185,421,88,92,87,75,79
186,295,51,67,51,84,42
187,312,58,53,70,83,48
188,399,77,75,81,84,82
189,265,44,46,50,82,43
190,371,80,83,67,81,60
191,246,38,44,43,82,39
192,429,83,79,92,80,95
193,411,77,68,91,82,93
194,258,45,52,42,82,37
195,410,83,73,88,80,86
196,385,74,71,73,82,85
197,371,66,66,77,85,77
198,377,74,72,73,81,77
199,345,66,66,70,81,62
200,403,82,84,77,80,80
201,366,66,65,73,85,77
202,294,61,58,56,83,36
203,363,65,61,76,81,80
204,385,71,71,75,85,83
205,409,81,78,83,82,85
206,397,86,89,78,79,65
207,314,55,61,56,82,60
208,394,76,75,83,81,79
209,405,80,80,81,83,81
210,375,73,70,73,86,73
211,353,62,67,71,84,69
212,266,53,43,52,82,36
213,352,60,53,75,79,85
214,297,53,52,71,82,39
215,396,82,87,76,79,72
216,218,35,37,39,80,27
217,374,80,76,76,85,57
218,240,41,42,34,82,41
219,347,67,60,71,83,66
220,398,76,77,83,82,80
221,395,79,88,75,84,69
222,429,88,90,89,83,79
223,398,83,86,76,79,74
224,337,63,60,65,79,70
225,254,49,34,49,80,42
226,386,84,82,70,84,66
227,391,79,79,79,78,76
228,377,77,77,70,85,68
229,366,73,71,71,82,69
230,393,76,67,83,83,84
231,267,47,46,39,80,55
232,292,56,52,58,76,50
233,426,86,82,89,82,87
234,400,84,76,87,78,75
235,339,67,66,65,80,61
236,283,48,42,62,78,53
237,423,87,90,85,83,78
238,422,90,91,90,80,71
239,376,66,81,73,81,75
240,309,54,66,55,85,49
241,220,34,33,41,73,39
242,391,80,83,79,85,64
243,398,82,78,85,83,70
244,244,36,37,36,79,56
245,250,50,47,36,75,42
246,291,47,53,54,82,55
247,427,91,90,86,82,78
248,349,69,68,66,81,65
249,374,75,84,72,80,63
250,317,55,52,68,82,60
251,323,63,68,57,75,60
252,345,55,52,78,84,76
253,417,90,91,79,83,74
254,290,57,56,70,77,30
255,294,56,52,59,78,49
256,268,47,51,45,82,43
257,383,79,84,79,80,61
258,305,56,54,58,79,58
259,340,59,49,74,86,72
260,397,78,78,82,83,76
261,362,67,68,72,81,74
262,338,69,67,61,83,58
263,389,77,82,72,78,80
264,328,64,75,55,82,52
265,330,60,62,68,78,62
266,385,78,79,76,79,73
267,409,86,78,86,80,79
268,312,59,54,62,79,58
269,334,62,59,64,85,64
270,381,72,69,83,80,77
271,355,67,61,75,81,71
272,333,62,60,69,80,62
273,281,48,43,53,82,55
274,251,37,30,55,80,49
275,413,85,83,83,80,82
276,410,79,83,85,83,80
277,444,96,90,90,76,92
278,389,88,77,80,76,68
279,318,63,67,54,78,56
280,405,80,81,78,82,84
281,335,61,69,66,79,60
282,429,91,87,85,77,89
283,397,78,74,82,80,83
284,438,96,96,85,79,82
285,429,91,91,86,82,79
286,396,79,86,79,80,72
287,376,77,76,75,82,66
288,386,85,79,75,80,67
289,402,78,80,83,80,81
290,347,74,82,60,84,47
291,382,75,78,72,80,77
292,426,92,93,81,82,78
293,344,68,74,61,78,63
294,375,77,76,70,80,72
295,430,91,87,87,79,86
296,219,39,35,32,76,37
297,349,68,69,66,80,66
298,352,72,74,69,77,60
299,412,85,88,80,82,77
300,401,76,72,85,78,90
301,319,57,72,63,83,44
302,425,89,84,87,81,84
303,403,77,66,89,81,90
304,340,68,79,60,78,55
305,394,76,74,86,75,83
306,423,84,82,89,81,87
307,352,68,60,69,78,77
308,406,93,94,77,78,64
309,407,82,83,80,76,86
310,385,75,77,81,81,71
311,398,81,86,84,80,67
312,264,48,48,48,75,45
313,408,81,79,88,77,83
314,274,42,44,67,83,38
315,386,78,84,74,82,68
316,383,76,78,72,78,79
317,373,69,74,75,83,72
318,415,79,79,86,84,87
319,345,66,63,61,82,73
320,441,87,90,91,81,92
321,385,78,78,75,80,74
322,240,45,44,34,74,43
323,341,64,74,67,83,53
324,229,41,37,37,71,43
325,327,63,76,57,81,50
326,341,65,70,66,77,63
327,287,53,44,55,80,55
328,372,75,84,68,80,65
329,307,60,62,60,80,45
330,403,76,81,89,82,75
331,392,77,85,78,78,74
332,408,83,79,86,79,81
