player_id,power,shot_power,jumping,stamina,strength,long_shots
1,389,86,68,72,69,94
2,444,94,95,84,78,93
3,268,59,78,41,78,12
4,408,91,63,89,74,91
5,357,80,62,81,50,84
6,420,89,84,76,86,85
7,404,86,77,86,76,79
8,240,64,52,32,78,14
9,393,80,69,85,75,84
10,406,84,86,88,70,78
11,402,81,90,75,92,64
12,268,66,79,35,78,10
13,437,88,87,90,91,81
14,249,56,68,38,70,17
15,284,68,77,43,80,16
16,400,84,79,78,80,79
17,402,79,93,81,85,64
18,403,89,78,78,74,84
19,381,71,77,96,72,65
20,403,78,79,95,67,84
21,382,82,75,78,60,87
22,273,70,66,41,78,18
23,358,78,57,79,65,79
24,424,91,79,84,84,86
25,316,55,82,70,94,15
26,361,82,56,82,63,78
27,355,89,32,75,73,86
28,264,55,78,41,71,19
29,328,70,51,77,67,63
30,370,80,66,88,62,74
31,350,76,51,93,54,76
32,365,78,62,95,65,65
33,348,68,76,72,85,47
34,411,89,72,94,67,89
35,395,81,75,88,81,70
36,402,82,81,88,74,77
37,385,88,56,87,64,90
38,402,81,90,86,63,82
39,257,56,74,39,75,13
40,398,86,77,78,77,80
41,337,61,66,81,75,54
42,389,82,75,80,74,78
43,250,55,71,45,65,14
44,379,83,72,78,60,86
45,371,79,68,84,58,82
46,409,89,69,78,85,88
47,223,51,74,41,43,14
48,355,78,87,54,87,49
49,378,87,79,79,68,65
50,355,68,77,89,74,47
51,347,52,81,75,86,53
52,308,56,65,76,53,58
53,426,90,82,83,89,82
54,241,59,67,43,60,12
55,388,78,77,86,66,81
56,359,64,80,88,61,66
57,399,77,78,91,78,75
58,341,71,68,65,86,51
59,262,64,73,45,68,12
60,325,72,64,70,46,73
61,343,62,74,69,87,51
62,345,76,70,73,44,82
63,378,74,75,82,69,78
64,396,82,84,76,88,66
65,315,50,78,73,84,30
66,382,74,69,84,79,76
67,406,90,72,87,76,81
68,253,57,72,34,72,18
69,369,68,76,90,74,61
70,421,83,85,85,88,80
71,368,87,64,70,69,78
72,347,58,85,75,83,46
73,388,85,75,83,67,78
74,370,74,75,88,69,64
75,336,83,37,80,59,77
76,340,61,89,80,75,35
77,379,86,65,78,69,81
78,350,79,60,76,55,80
79,408,87,76,81,81,83
80,387,85,93,66,72,71
81,345,77,53,75,64,76
82,316,78,50,70,34,84
83,395,83,63,94,75,80
84,260,60,73,43,70,14
85,400,87,71,73,95,74
86,398,80,79,90,77,72
87,370,84,49,92,56,89
88,366,81,49,78,70,88
89,355,75,75,73,59,73
90,406,86,83,89,79,69
91,373,87,70,67,66,83
92,250,62,67,35,74,12
93,369,74,85,66,79,65
94,375,78,82,78,79,58
95,346,67,89,62,85,43
96,399,78,81,93,74,73
97,359,78,59,81,59,82
98,326,80,58,70,37,81
99,379,71,90,71,82,65
100,415,93,70,78,91,83
101,402,80,88,77,83,74
102,366,78,68,76,68,76
103,372,80,72,82,57,81
104,412,80,90,92,78,72
105,279,65,80,39,78,17
106,364,72,90,64,90,48
107,394,80,67,94,69,84
108,356,80,73,66,64,73
109,409,87,80,91,68,83
110,376,81,64,80,71,80
111,333,77,38,63,93,62
112,385,83,70,77,76,79
113,361,66,90,85,73,47
114,375,79,64,90,63,79
115,430,86,83,92,84,85
116,338,79,53,77,49,80
117,410,79,78,83,88,82
118,407,82,80,87,77,81
119,342,46,90,76,89,41
120,402,83,75,86,84,74
121,354,88,34,69,74,89
122,406,83,92,86,69,76
123,364,83,79,68,63,71
124,343,65,76,64,78,60
125,364,76,67,85,59,77
