player_id,skill,dribbling,curve,fk_accuracy,long_passing,ball_control
1,470,96,93,94,91,96
2,414,88,81,76,77,92
3,109,12,13,14,40,30
4,441,88,85,83,93,92
5,448,95,88,89,81,95
6,407,85,79,85,70,88
7,394,92,79,63,70,90
8,138,27,19,18,44,30
9,406,90,83,69,75,89
10,391,91,76,64,71,89
11,363,70,60,70,86,77
12,144,21,18,12,63,30
13,369,69,63,74,84,79
14,110,13,19,20,35,23
15,160,30,14,11,59,46
16,404,87,81,73,73,90
17,381,65,74,76,83,83
18,397,88,83,73,64,89
19,336,79,49,49,79,80
20,400,83,85,61,86,85
21,436,91,88,88,75,94
22,157,23,15,20,59,40
23,387,90,77,63,69,88
24,395,80,80,68,83,84
25,262,69,28,28,63,74
26,427,93,83,79,81,91
27,432,80,86,84,93,89
28,100,18,12,14,40,16
29,380,92,81,48,68,91
30,426,77,88,85,89,87
31,411,92,84,67,76,92
32,358,80,82,38,76,82
33,351,63,61,69,80,78
34,433,85,86,87,87,88
35,365,76,71,53,83,82
36,403,90,81,65,76,91
37,400,88,85,70,70,87
38,429,87,86,85,82,89
39,98,16,11,15,37,19
40,341,83,70,51,53,84
41,386,81,66,68,83,88
42,383,80,81,76,64,82
43,99,11,16,14,36,22
44,432,88,89,88,80,87
45,427,85,85,78,89,90
46,413,84,86,82,77,84
47,115,10,11,10,50,34
48,276,59,60,31,65,61
49,330,77,67,57,48,81
50,359,78,76,47,74,84
51,309,55,46,52,77,79
52,411,90,78,64,89,90
53,435,87,85,82,91,90
54,143,18,21,19,47,38
55,375,75,81,59,78,82
56,387,81,80,63,79,84
57,403,78,80,74,87,84
58,355,69,66,53,86,81
59,96,15,12,13,31,25
60,420,86,82,77,84,91
61,325,63,58,43,81,80
62,411,87,82,79,77,86
63,388,86,84,53,78,87
64,319,66,48,55,74,76
65,269,67,34,30,69,69
66,359,76,65,54,82,82
67,399,87,82,76,69,85
68,106,28,12,14,24,28
69,409,87,84,64,86,88
70,412,86,78,75,85,88
71,402,88,83,82,64,85
72,297,57,59,31,74,76
73,352,84,70,58,55,85
74,372,82,78,52,78,82
75,425,83,90,78,89,85
76,312,64,55,32,82,79
77,380,87,74,62,74,83
78,418,90,84,78,75,91
79,414,85,85,86,74,84
80,336,76,76,48,54,82
81,430,86,86,81,89,88
82,425,90,87,77,78,93
83,409,80,85,76,84,84
84,116,16,9,8,48,35
85,371,78,78,66,71,78
86,369,80,78,59,71,81
87,428,77,89,85,87,90
88,439,82,88,93,90,86
89,432,90,85,77,89,91
90,381,79,76,71,76,79
91,422,85,88,86,76,87
92,104,19,18,11,31,25
93,345,69,56,61,84,75
94,351,62,63,69,82,75
95,295,53,49,49,70,74
96,405,85,78,73,81,88
97,440,86,86,92,87,89
98,412,88,82,79,74,89
99,349,67,62,61,80,79
100,341,75,77,62,49,78
101,365,87,78,43,73,84
102,396,87,76,60,84,89
103,387,85,74,71,73,84
104,341,72,58,58,75,78
105,143,26,30,17,32,38
106,252,50,36,44,62,60
107,403,81,79,74,84,85
108,399,88,81,70,73,87
109,417,82,87,79,87,82
110,401,88,77,65,85,86
111,233,43,28,30,69,63
112,377,89,84,54,63,87
113,325,73,68,40,67,77
114,412,84,85,81,79,83
115,391,84,69,70,85,83
116,420,87,85,82,78,88
117,397,82,76,75,79,85
118,382,81,73,60,83,85
119,251,57,32,30,69,63
120,368,84,75,51,75,83
121,420,88,85,85,74,88
122,400,78,83,83,73,83
123,396,87,80,76,66,87
124,271,66,45,16,71,73
125,411,83,83,77,83,85
126,428,92,88,76,81,91
127,401,77,77,85,79,83
128,342,76,49,61,77,79
129,395,89,85,67,68,86
130,403,87,79,83,68,86
131,410,92,84,78,65,91
132,84,12,13,12,24,23
133,356,82,73,65,51,85
134,350,67,68,58,80,77
135,356,75,75,75,52,79
136,103,20,10,16,32,25
137,386,79,71,68,85,83
138,358,77,74,47,81,79
139,83,15,11,11,28,18
140,126,12,13,15,46,40
141,370,84,82,46,75,83
142,381,76,70,72,81,82
143,381,79,70,66,84,82
144,362,84,68,55,72,83
145,395,89,82,64,76,84
146,368,86,76,54,66,86
147,414,85,86,78,82,83
148,328,82,68,45,56,77
149,344,78,64,46,76,80
150,343,80,72,35,78,78
151,319,82,61,30,65,81
152,378,87,78,66,62,85
153,275,67,41,29,65,73
154,415,87,88,75,78,87
155,416,86,81,83,81,85
156,383,76,78,65,79,85
157,119,18,23,21,41,16
158,127,19,15,13,45,35
159,328,65,47,71,74,71
160,414,88,83,79,77,87
161,369,88,78,56,62,85
162,317,79,48,62,47,81
163,77,14,14,12,22,15
164,365,79,80,49,75,82
165,393,84,75,68,81,85
166,395,85,82,69,75,84
167,275,68,36,24,71,76
168,400,85,79,80,73,83
169,373,81,75,62,73,82
170,408,88,79,70,82,89
171,377,79,76,68,71,83
172,348,64,72,62,73,77
173,403,79,75,76,88,85
174,388,84,80,64,79,81
175,368,83,78,51,73,83
176,393,79,75,78,79,82
177,407,86,83,81,73,84
178,384,88,71,70,70,85
179,358,82,65,49,79,83
180,334,65,62,56,79,72
181,376,78,78,60,78,82
182,96,15,15,14,31,21
183,412,84,85,76,80,87
184,397,79,75,76,84,83
185,355,90,63,51,65,86
