player_id,team,best_position,year_start,year_end,status_player,duration
1,FC Barcelona,RW,2004.0,2021.0,Active,17.0
2,Juventus,ST,2018.0,2022.0,Active,4.0
3,Atlético Madrid,GK,2014.0,2023.0,Active,9.0
4,Manchester City,CAM,2015.0,2023.0,Active,8.0
5,Paris Saint-Germain,LW,2017.0,2022.0,Active,5.0
6,FC Bayern München,ST,2014.0,2023.0,Active,9.0
7,Paris Saint-Germain,ST,2018.0,2022.0,Active,4.0
8,Liverpool,GK,2018.0,2024.0,Active,6.0
9,Liverpool,RW,2017.0,2023.0,Active,6.0
10,Liverpool,LW,2016.0,2023.0,Active,7.0
11,Liverpool,CB,2018.0,2023.0,Active,5.0
12,FC Barcelona,GK,2014.0,2022.0,Active,8.0
13,Real Madrid,CDM,2013.0,2023.0,Active,10.0
14,Real Madrid,GK,2018.0,2024.0,Active,6.0
15,FC Bayern München,GK,2011.0,2023.0,Active,12.0
16,Real Madrid,CF,2009.0,2022.0,Active,13.0
17,Real Madrid,CB,2005.0,2021.0,Active,16.0
18,Manchester City,ST,2011.0,2021.0,Active,10.0
19,Chelsea,CDM,2016.0,2023.0,Active,7.0
20,FC Bayern München,CDM,2015.0,2023.0,Active,8.0
21,Juventus,CAM,2015.0,2022.0,Active,7.0
22,Manchester City,GK,2017.0,2024.0,Active,7.0
23,Manchester City,LW,2015.0,2023.0,Active,8.0
24,Tottenham Hotspur,ST,2010.0,2024.0,Active,14.0
25,Napoli,CB,2014.0,2023.0,Active,9.0
26,Real Madrid,LW,2019.0,2024.0,Active,5.0
27,Real Madrid,CM,2014.0,2023.0,Active,9.0
28,Inter,GK,2012.0,2021.0,Active,9.0
29,Borussia Dortmund,CAM,2017.0,2023.0,Active,6.0
30,Liverpool,RB,2015.0,2024.0,Active,9.0
31,Manchester City,RW,2017.0,2025.0,Active,8.0
32,Liverpool,LB,2017.0,2024.0,Active,7.0
33,Manchester City,CB,2018.0,2024.0,Active,6.0
34,Manchester United,CAM,2020.0,2025.0,Active,5.0
35,Liverpool,CDM,2018.0,2023.0,Active,5.0
36,Liverpool,CF,2015.0,2023.0,Active,8.0
37,Tottenham Hotspur,LM,2015.0,2023.0,Active,8.0
38,FC Barcelona,ST,2019.0,2024.0,Active,5.0
39,Paris Saint-Germain,GK,2019.0,2023.0,Active,4.0
40,Lazio,ST,2016.0,2025.0,Active,9.0
41,FC Barcelona,CDM,2008.0,2023.0,Active,15.0
42,Arsenal,ST,2018.0,2023.0,Active,5.0
43,Juventus,GK,2017.0,2024.0,Active,7.0
