player_id,full_name,age,height,weight,foot,nationality
1,Lionel Messi,33,170.18,72.121128,Left,Argentina
2,Cristiano Ronaldo dos Santos Aveir,35,187.96,83.007336,Right,Portugal
3,Jan Oblak,27,187.96,87.089664,Right,Slovenia
4,Kevin De Bruyne,29,180.34,69.853168,Right,Belgium
5,Neymar da Silva Santos Jr.,28,175.26,68.0388,Right,Brazil
6,Robert Lewandowski,31,182.88,79.83219199999999,Right,Poland
7,Kylian Mbappé,21,177.8,73.028312,Right,France
8,Alisson Ramses Becker,27,190.5,91.171992,Right,Brazil
9,Mohamed Salah,28,175.26,71.213944,Left,Egypt
10,Sadio Mané,28,175.26,68.945984,Right,Senegal
11,Virgil van Dijk,28,193.04,92.079176,Right,Netherlands
12,Marc-André ter Stegen,28,187.96,84.821704,Right,Germany
13,Carlos Henrique Venancio Casimiro,28,185.42,83.91452,Right,Brazil
14,Thibaut Courtois,28,198.12,96.161504,Left,Belgium
15,Manuel Neuer,34,193.04,92.079176,Right,Germany
16,Karim Benzema,32,185.42,81.192968,Right,France
17,Sergio Ramos García,34,182.88,82.100152,Right,Spain
18,Sergio Agüero,32,172.72,69.853168,Right,Argentina
19,N'Golo Kanté,29,167.64,69.853168,Right,France
20,Joshua Kimmich,25,175.26,73.028312,Right,Germany
21,Paulo Dybala,26,177.8,74.84268,Left,Argentina
22,Ederson Santana de Moraes,26,187.96,86.18248,Left,Brazil
23,Raheem Sterling,25,170.18,68.945984,Right,England
24,Harry Kane,26,187.96,88.904032,Right,England
25,Kalidou Koulibaly,29,187.96,88.904032,Right,Senegal
26,Eden Hazard,29,175.26,73.935496,Right,Belgium
27,Toni Kroos,30,182.88,76.203456,Right,Germany
28,Samir Handanovič,35,193.04,92.079176,Right,Slovenia
29,Jadon Sancho,20,180.34,76.203456,Right,England
30,Trent Alexander-Arnold,21,180.34,68.945984,Right,England
31,Bernardo Mota Carvalho e Silva,25,172.72,63.956472,Left,Portugal
32,Andrew Robertson,26,177.8,63.956472,Left,Scotland
33,Aymeric Laporte,26,187.96,84.821704,Left,France
34,Bruno Miguel Borges Fernandes,25,177.8,68.945984,Right,Portugal
35,Fábio Henrique Tavares,26,187.96,78.017824,Right,Brazil
36,Roberto Firmino Barbosa de Oliveira,28,180.34,76.203456,Right,Brazil
37,Heung Min Son,27,182.88,78.017824,Right,Korea Republic
38,Antoine Griezmann,29,175.26,73.028312,Left,France
39,Keylor Navas,33,185.42,79.83219199999999,Right,Costa Rica
40,Ciro Immobile,30,185.42,84.821704,Right,Italy
41,Sergio Busquets Burgos,31,187.96,76.203456,Right,Spain
42,Pierre-Emerick Aubameyang,31,187.96,79.83219199999999,Right,Gabon
43,Wojciech Szczęsny,30,195.58,89.811216,Right,Poland
44,Ángel Di María,32,180.34,68.945984,Left,Argentina
45,Luka Modrić,34,172.72,66.224432,Right,Croatia
46,Luis Suárez,33,182.88,83.007336,Right,Uruguay
47,Hugo Lloris,33,187.96,82.100152,Left,France
48,Giorgio Chiellini,35,187.96,84.821704,Left,Italy
49,Jamie Vardy,33,177.8,73.935496,Right,England
50,Daniel Carvajal Ramos,28,172.72,73.028312,Right,Spain
51,Raphaël Varane,27,190.5,81.192968,Right,France
52,Marco Verratti,27,165.1,59.874144,Right,Italy
53,Paul Pogba,27,190.5,83.91452,Right,France
54,David De Gea Quintana,29,193.04,82.100152,Right,Spain
55,Thomas Müller,30,185.42,74.84268,Right,Germany
56,Jordi Alba Ramos,31,170.18,68.0388,Left,Spain
57,Jordan Henderson,30,182.88,79.83219199999999,Right,England
58,Mats Hummels,31,190.5,93.893544,Right,Germany
59,Yann Sommer,31,182.88,78.925008,Right,Switzerland
60,David Josué Jiménez Silva,34,172.72,67.131616,Left,Spain
61,Gerard Piqué Bernabeu,33,193.04,84.821704,Right,Spain
62,Alejandro Gómez,32,167.64,68.0388,Right,Argentina
63,Kai Havertz,21,187.96,83.007336,Left,Germany
64,Matthijs de Ligt,20,187.96,88.904032,Right,Netherlands
65,Milan Škriniar,25,187.96,79.83219199999999,Right,Slovakia
66,Rodrigo Hernández Cascante,24,190.5,82.100152,Right,Spain
67,Marcus Rashford,22,185.42,69.853168,Right,England
68,Gianluigi Donnarumma,21,195.58,89.811216,Right,Italy
69,Frenkie de Jong,23,180.34,73.935496,Right,Netherlands
70,Sergej Milinković-Savić,25,190.5,76.203456,Right,Serbia
71,Leroy Sané,24,182.88,74.84268,Left,Germany
72,Clément Lenglet,25,185.42,81.192968,Left,France
73,Timo Werner,24,180.34,76.203456,Right,Germany
74,Ricardo Barbosa Pereira,26,175.26,69.853168,Right,Portugal
75,Hakim Ziyech,27,180.34,64.863656,Left,Morocco
76,Marcos Aoás Corrêa,26,182.88,74.84268,Right,Brazil
77,Serge Gnabry,24,175.26,74.84268,Right,Germany
78,Riyad Mahrez,29,177.8,67.131616,Left,Algeria
79,Memphis Depay,26,175.26,78.017824,Right,Netherlands
80,Mauro Icardi,27,180.34,74.84268,Right,Argentina
81,Luis Alberto Romero Alconchel,27,182.88,73.935496,Right,Spain
