Columna,Tipo,Elementos únicos,n_nulls,ejemplos,Anotaciones
photoUrl,object,18978,0,"0    https://cdn.sofifa.com/players/158/023/21_60.png
1    https://cdn.sofifa.com/players/020/801/21_60.png
2    https://cdn.sofifa.com/players/200/389/21_60.png
Name: photoUrl, dtype: object",Revisar patrón. Revisar repetición.
LongName,object,18851,0,"0                    Lionel Messi
1    C. Ronaldo dos Santos Aveiro
2                       Jan Oblak
Name: LongName, dtype: object",Revisar duplicados. Agregar nombre completo.
playerUrl,object,18978,0,"0    http://sofifa.com/player/158023/lionel-messi/2...
1    http://sofifa.com/player/20801/c-ronaldo-dos-s...
2    http://sofifa.com/player/200389/jan-oblak/210005/
Name: playerUrl, dtype: object",Revisar patrón. Revisar duplicado.
Nationality,object,164,0,"0    Argentina
1     Portugal
2     Slovenia
Name: Nationality, dtype: object",OK
Positions,object,640,0,"0    RW ST CF
1       ST LW
2          GK
Name: Positions, dtype: object","Tomar posición principal. Generalizar posición,"
Name,object,17919,0,"0             L. Messi
1    Cristiano Ronaldo
2             J. Oblak
Name: Name, dtype: object",Agregar nombre completo. Revisar duplicados.
Age,int64,29,0,"0    33
1    35
2    27
Name: Age, dtype: int64",Revisar todos los diferentes. No creo que el rango de edades sea de 29.
↓OVA,int64,47,0,"0    93
1    92
2    91
Name: ↓OVA, dtype: int64",Cambiar nombre de la columna
POT,int64,48,0,"0    93
1    92
2    93
Name: POT, dtype: int64",OK
Team & Contract,object,9023,0,"0       \n\n\n\nFC Barcelona\n2004 ~ 2021\n\n
1           \n\n\n\nJuventus\n2018 ~ 2022\n\n
2    \n\n\n\nAtlético Madrid\n2014 ~ 2023\n\n
Name: Team & Contract, dtype: object",Eliminar carácteres inecesarios. Convertir a tipo Date. Separar equipo.
ID,int64,18978,0,"0    158023
1     20801
2    200389
Name: ID, dtype: int64",OK
Height,object,21,0,"0    5'7""
1    6'2""
2    6'2""
Name: Height, dtype: object",Convertir a int que representen cm
Weight,object,56,0,"0    159lbs
1    183lbs
2    192lbs
Name: Weight, dtype: object",Convertir a float que representen kg
foot,object,2,0,"0     Left
1    Right
2    Right
Name: foot, dtype: object",OK
BOV,int64,46,0,"0    93
1    92
2    91
Name: BOV, dtype: int64",OK
BP,object,15,0,"0    RW
1    ST
2    GK
Name: BP, dtype: object",OK
Growth,int64,27,0,"0    0
1    0
2    2
Name: Growth, dtype: int64",Revisar categorías
